diffusion,cell_size,C_thr,n_clusters,n_rows,vol_diff_pct_mean,vol_diff_pct_median,surf_diff_pct_mean,surf_diff_pct_median,runtime_s_mean,peak_rss_mb_mean
diff,"(0.7, 0.7, 0.7)",0.1,2,2,4.275912868793754,4.275912868793754,4.347038359240502,4.347038359240502,0.24352505500428379,243.91796875
diff,"(0.7, 0.7, 0.7)",0.2,2,2,4.275912868793754,4.275912868793754,4.347038359240502,4.347038359240502,0.2531788069754839,243.5390625
diff,"(0.7, 0.7, 0.7)",0.3,2,2,3.9058872389820536,3.9058872389820536,4.315451883039307,4.315451883039307,0.26659100397955626,243.68359375
diff,"(0.7, 0.7, 0.7)",0.4,2,2,6.190712976564376,6.190712976564376,4.138538339587192,4.138538339587192,0.25503759004641324,243.75
diff,"(0.7, 0.7, 0.7)",0.5,2,2,18.860524442062072,18.860524442062072,11.281555510838677,11.281555510838677,0.24947668390814215,243.68359375
diff,"(0.7, 0.7, 0.7)",0.6,2,2,19.088234466936374,19.088234466936374,11.620434566114014,11.620434566114014,0.24776893900707364,243.8046875
diff,"(0.7, 0.7, 0.7)",0.7,2,2,20.679533844232353,20.679533844232353,12.740209842501613,12.740209842501613,0.22564153803978115,243.47265625
diff,"(0.7, 0.7, 0.7)",0.8,2,2,20.928947413522568,20.928947413522568,12.87617208617685,12.87617208617685,0.2214112060610205,243.4765625
diff,"(0.7, 0.7, 0.7)",0.9,2,2,22.463865726451907,22.463865726451907,15.124616923861094,15.124616923861094,0.23792652401607484,245.95703125
diff,"(0.8, 0.8, 0.8)",0.1,2,2,9.497425950021036,9.497425950021036,7.730568157715591,7.730568157715591,0.18658458499703556,246.578125
diff,"(0.8, 0.8, 0.8)",0.2,2,2,9.497425950021036,9.497425950021036,7.730568157715591,7.730568157715591,0.18281980010215193,244.62109375
diff,"(0.8, 0.8, 0.8)",0.3,2,2,10.099995304969537,10.099995304969537,7.634944272385532,7.634944272385532,0.18424359697382897,244.74609375
diff,"(0.8, 0.8, 0.8)",0.4,2,2,14.291231222058235,14.291231222058235,8.539252331176387,8.539252331176387,0.17491135909222066,244.91015625
diff,"(0.8, 0.8, 0.8)",0.5,2,2,21.328059382798216,21.328059382798216,11.864937854142385,11.864937854142385,0.17976000800263137,245.16015625
diff,"(0.8, 0.8, 0.8)",0.6,2,2,21.997654864987343,21.997654864987343,12.66545121287006,12.66545121287006,0.17423904105089605,245.41015625
diff,"(0.8, 0.8, 0.8)",0.7,2,2,27.87541129642834,27.87541129642834,18.220567528716252,18.220567528716252,0.1641774249728769,245.73046875
diff,"(0.8, 0.8, 0.8)",0.8,2,2,27.87541129642834,27.87541129642834,18.220567528716252,18.220567528716252,0.16495320794638246,245.9765625
diff,"(0.8, 0.8, 0.8)",0.9,2,2,28.60149460055256,28.60149460055256,18.568234741793855,18.568234741793855,0.16276920505333692,248.4765625
diff,"(0.9, 0.9, 0.9)",0.1,2,2,5.615241601875798,5.615241601875798,3.8983282423083594,3.8983282423083594,0.13955145503859967,249.234375
diff,"(0.9, 0.9, 0.9)",0.2,2,2,5.615241601875798,5.615241601875798,3.8983282423083594,3.8983282423083594,0.14359133294783533,246.6953125
diff,"(0.9, 0.9, 0.9)",0.3,2,2,10.491373715341208,10.491373715341208,5.876668201470958,5.876668201470958,0.13378442800603807,247.00390625
diff,"(0.9, 0.9, 0.9)",0.4,2,2,10.461629366357368,10.461629366357368,5.801115929713795,5.801115929713795,0.13293106306809932,247.359375
diff,"(0.9, 0.9, 0.9)",0.5,2,2,17.98600506879808,17.98600506879808,11.01011117561621,11.01011117561621,0.14845249999780208,247.7109375
diff,"(0.9, 0.9, 0.9)",0.6,2,2,17.98600506879808,17.98600506879808,11.01011117561621,11.01011117561621,0.12971256393939257,248.01953125
diff,"(0.9, 0.9, 0.9)",0.7,2,2,31.937885155858755,31.937885155858755,22.126002036771368,22.126002036771368,0.1362173929810524,248.234375
diff,"(0.9, 0.9, 0.9)",0.8,2,2,32.29481175546711,32.29481175546711,22.17522542852361,22.17522542852361,0.12831147096585482,248.5625
diff,"(0.9, 0.9, 0.9)",0.9,2,2,32.3972557820116,32.3972557820116,22.01030624290492,22.01030624290492,0.12885396101046354,248.82421875
diff,"(1.0, 1.0, 1.0)",0.1,1,1,11.955522396332544,11.955522396332544,9.110881993395461,9.110881993395461,0.11467795399948955,249.48046875
diff,"(1.0, 1.0, 1.0)",0.2,1,1,11.955522396332544,11.955522396332544,9.110881993395461,9.110881993395461,0.11499161901883781,249.6875
diff,"(1.0, 1.0, 1.0)",0.3,1,1,9.445160657997304,9.445160657997304,7.499880671471701,7.499880671471701,0.11715294700115919,252.64453125
diff,"(1.0, 1.0, 1.0)",0.4,1,1,0.24580772834726852,0.24580772834726852,1.4479526516468602,1.4479526516468602,0.12543628690764308,250.03515625
diff,"(1.0, 1.0, 1.0)",0.5,1,1,3.412177945197107,3.412177945197107,0.5579337540982794,0.5579337540982794,0.12136927293613553,253.18359375
diff,"(1.0, 1.0, 1.0)",0.6,1,1,3.412177945197107,3.412177945197107,0.5579337540982794,0.5579337540982794,0.11356940993573517,253.265625
diff,"(1.0, 1.0, 1.0)",0.7,1,1,11.83624507681586,11.83624507681586,4.4629811014755365,4.4629811014755365,0.14078493101987988,250.86328125
diff,"(1.0, 1.0, 1.0)",0.8,1,1,13.554351938991562,13.554351938991562,4.81419413059269,4.81419413059269,0.11473809997551143,253.70703125
diff,"(1.0, 1.0, 1.0)",0.9,1,1,13.554351938991562,13.554351938991562,4.81419413059269,4.81419413059269,0.1184067289577797,251.421875
