system,cluster_id,mesh_size,cell_size,diffusion,diffusion_coeff,diffusion_iters,C_thr,atom_volume,grid_volume,atom_surface,grid_surface,volume_diff,surface_diff,volume_diff_pct,surface_diff_pct,runtime_s,peak_mem_tracemalloc_mb,peak_mem_rss_mb,atom_runtime_s,atom_mem_tracemalloc_mb,atom_mem_rss_mb
180k,0,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,207.49859758009973,230.24941959913565,188.72047900188986,207.56696648762662,22.750822019035922,18.84648748573676,10.964325679480087,9.986455940241667,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,1,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,50.80069931274385,33.07477145501124,88.33975687478534,66.80376462529334,17.725927857732614,21.535992249491997,34.893078436985,24.378595789003104,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,2,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,15.062750703787586,20.393807859595466,40.07853686263432,48.657136371655966,5.33105715580788,8.578599509021643,35.39232149986633,21.404472769113408,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,3,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,9.29739398596627,9.139711736780507,25.465703029146013,25.946323133480956,0.157682249185763,0.4806201043349425,1.695983298371272,1.88732313333295,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,6,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,274.08877028508454,297.28314758220216,248.01741593430472,256.5073211772553,23.194377297117626,8.489905242950556,8.462359575327639,3.423108498638409,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,7,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,186.48587957129348,177.19689453916791,190.96063787127804,195.55088800254754,9.288985032125566,4.590250131269499,4.981066155507174,2.403767699165142,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,8,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,613.6941745747648,676.3563410249981,405.2572729104687,432.82500185612486,62.66216645023326,27.567728945656143,10.210650360768462,6.802525405076822,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,10,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,1314.657466319272,1411.2868780387064,853.6819913835127,896.3247760110188,96.6294117194343,42.6427846275061,7.350158820454855,4.995160382661631,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,11,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,544.9063482323091,592.9424842996128,379.25015146992286,412.99404125141615,48.03613606730369,33.743889781493294,8.815484756808983,8.897528359766369,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,12,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,379.61364125958374,411.68668219110026,366.9015583140489,376.1349057040436,32.073040931516516,9.23334738999472,8.448864172819501,2.516573500647672,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,13,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,69.20394881193398,67.66788090512053,96.68877947977151,101.6775337978559,1.5360679068134573,4.988754318084389,2.2196246503040125,5.159600053828478,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,15,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,229.88096850106385,238.4074961346038,217.42098532213828,233.7423667301264,8.526527633539956,16.321381407988127,3.7091054945248754,7.506810524202996,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,17,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,61.020912477108105,71.90017055480487,88.94999726594224,96.96456270149493,10.879258077696768,8.014565435552683,17.82873712643695,9.010191885212517,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,18,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,607.5193417916389,661.6753166626058,402.05583658906016,428.7981298386893,54.15597487096693,26.742293249629142,8.914279948891046,6.651387895896248,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,20,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,1.4972647835804151,0.8326699791123652,10.504669188738564,5.529323617707562,0.66459480446805,4.975345571031002,44.3872594718218,47.36318185407281,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,26,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,110.35066312450572,124.29164074480491,127.69271689148114,141.90473173097553,13.940977620299194,14.212014839494387,12.633342859543998,11.129855472941639,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,27,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,210.81893586019228,238.80918240617916,215.95515673299286,236.97916821336707,27.990246545986878,21.024011480374213,13.276912926146741,9.735359784146445,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,28,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,50.125368623955296,62.826771307263186,97.48109235933657,115.23182473239704,12.70140268330789,17.750732373060472,25.339270377430783,18.20941060818995,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,29,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,42.31720018459013,43.81000530196704,70.68370969531543,75.1926518356021,1.4928051173769106,4.508942140286678,3.5276556834223585,6.379040035847903,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,31,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,9.09663310524592,6.008004143019096,36.22210896022748,26.334416027646515,3.0886289622268235,9.887692932580965,33.95354002400787,27.29739713233657,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,32,"(62, 62, 20)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.4,3.522762361389473,3.1633120637623215,14.835505897891597,14.963313514502634,0.35945029762715164,0.12780761661103668,10.203648749255247,0.8614982022904965,0.8940712759504095,52.97244071960449,604.203125,2.4030963740078732,86.13438034057617,612.59765625
180k,0,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,207.49859758009973,230.67126284876701,188.72047900188986,207.9174594411174,23.172665268667288,19.19698043922753,11.167625005138673,10.17217661843434,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,1,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,50.80069931274385,33.07477145501124,88.33975687478534,66.80376462529334,17.725927857732614,21.535992249491997,34.893078436985,24.378595789003104,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,2,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,15.062750703787586,20.393807859595466,40.07853686263432,48.657136371655966,5.33105715580788,8.578599509021643,35.39232149986633,21.404472769113408,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,3,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,9.29739398596627,9.139711736780507,25.465703029146013,25.946323133480956,0.157682249185763,0.4806201043349425,1.695983298371272,1.88732313333295,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,6,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,274.08877028508454,297.28314758220216,248.01741593430472,256.5073211772553,23.194377297117626,8.489905242950556,8.462359575327639,3.423108498638409,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,7,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,186.48587957129348,177.19689453916791,190.96063787127804,195.55088800254754,9.288985032125566,4.590250131269499,4.981066155507174,2.403767699165142,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,8,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,613.6941745747648,676.3563410249981,405.2572729104687,432.82500185612486,62.66216645023326,27.567728945656143,10.210650360768462,6.802525405076822,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,10,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,1314.657466319272,1411.2868780387064,853.6819913835127,896.3247760110188,96.6294117194343,42.6427846275061,7.350158820454855,4.995160382661631,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,11,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,544.9063482323091,592.9424842996128,379.25015146992286,412.99404125141615,48.03613606730369,33.743889781493294,8.815484756808983,8.897528359766369,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,12,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,379.61364125958374,415.6546615623799,366.9015583140489,376.5169942728062,36.04102030279614,9.615435958757303,9.494132029399575,2.6207127609218226,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,13,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,69.20394881193398,67.66788090512053,96.68877947977151,101.6775337978559,1.5360679068134573,4.988754318084389,2.2196246503040125,5.159600053828478,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,15,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,229.88096850106385,238.4074961346038,217.42098532213828,233.7423667301264,8.526527633539956,16.321381407988127,3.7091054945248754,7.506810524202996,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,17,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,61.020912477108105,72.7789965036422,88.94999726594224,98.61060722421504,11.7580840265341,9.6606099582728,19.268941661508464,10.860719792255372,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,18,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,607.5193417916389,661.6753166626058,402.05583658906016,428.7981298386893,54.15597487096693,26.742293249629142,8.914279948891046,6.651387895896248,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,19,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,7.931286957290086,6.211728835573889,25.052345343768526,25.318857670191342,1.7195581217161973,0.2665123264228164,21.680694835226657,1.0638218608506775,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,20,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,1.4972647835804151,0.8326699791123652,10.504669188738564,5.529323617707562,0.66459480446805,4.975345571031002,44.3872594718218,47.36318185407281,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,26,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,110.35066312450572,124.29164074480491,127.69271689148114,141.90473173097553,13.940977620299194,14.212014839494387,12.633342859543998,11.129855472941639,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,27,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,210.81893586019228,239.75189581009434,215.95515673299286,237.0882062542515,28.932959949902056,21.13304952125864,13.72408025486353,9.785850840963043,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,28,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,50.125368623955296,62.826771307263186,97.48109235933657,115.23182473239704,12.70140268330789,17.750732373060472,25.339270377430783,18.20941060818995,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,29,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,42.31720018459013,43.81000530196704,70.68370969531543,75.1926518356021,1.4928051173769106,4.508942140286678,3.5276556834223585,6.379040035847903,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,31,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,9.09663310524592,6.008004143019096,36.22210896022748,26.334416027646515,3.0886289622268235,9.887692932580965,33.95354002400787,27.29739713233657,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
180k,32,"(62, 62, 20)","(1.0, 1.0, 1.0)",diff,0.1,500,0.4,3.522762361389473,3.1633120637623215,14.835505897891597,14.963313514502634,0.35945029762715164,0.12780761661103668,10.203648749255247,0.8614982022904965,1.36990870104637,53.194427490234375,603.2265625,2.4030963740078732,86.13438034057617,612.59765625
