cluster_id,mesh_size,cell_size,diffusion,diffusion_coeff,diffusion_iters,C_thr,atom_volume,grid_volume,atom_surface,grid_surface,volume_diff,surface_diff,volume_diff_pct,surface_diff_pct,runtime_s,peak_mem_tracemalloc_mb,peak_mem_rss_mb,atom_runtime_s,atom_mem_tracemalloc_mb,atom_mem_rss_mb
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.1,436.50555163374787,394.870176751517,337.39821518583136,320.6859003604617,41.63537488223085,16.712314825369674,9.538337995106467,4.953290821697117,0.20675998798105866,3.2459487915039062,243.1171875,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.2,436.50555163374787,394.870176751517,337.39821518583136,320.6859003604617,41.63537488223085,16.712314825369674,9.538337995106467,4.953290821697117,0.1493837219895795,3.230398178100586,242.60546875,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.3,436.50555163374787,394.870176751517,337.39821518583136,320.6859003604617,41.63537488223085,16.712314825369674,9.538337995106467,4.953290821697117,0.155651307082735,3.230386734008789,242.7265625,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.4,436.50555163374787,392.4643251169291,337.39821518583136,319.8646409030773,44.04122651681877,17.533574282754046,10.089499744500793,5.196700365796822,0.1708439759677276,3.228748321533203,243.0078125,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.5,436.50555163374787,375.45961454261595,337.39821518583136,309.55000255305015,61.04593709113192,27.848212632781213,13.985145632776009,8.253811484285132,0.16394419595599174,3.2105026245117188,242.91796875,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.6,436.50555163374787,375.45961454261595,337.39821518583136,309.55000255305015,61.04593709113192,27.848212632781213,13.985145632776009,8.253811484285132,0.15735817002132535,3.2106990814208984,242.921875,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.7,436.50555163374787,370.5905725636726,337.39821518583136,306.38352289926,65.91497907007528,31.014692286571346,15.100604980479506,9.192310714948256,0.1465423470363021,3.206202507019043,243.01953125,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.8,436.50555163374787,370.5905725636726,337.39821518583136,306.38352289926,65.91497907007528,31.014692286571346,15.100604980479506,9.192310714948256,0.14766260504256934,3.206913948059082,243.1484375,0.3286805229727179,9.129507064819336,235.1015625
0,"(22, 22, 22)","(0.7, 0.7, 0.7)",no_diff,0.0,0,0.9,436.50555163374787,370.5905725636726,337.39821518583136,306.38352289926,65.91497907007528,31.014692286571346,15.100604980479506,9.192310714948256,0.14613583800382912,3.2060842514038086,243.33984375,0.3286805229727179,9.129507064819336,235.1015625
0,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.1,436.50555163374787,441.58959430663634,337.39821518583136,343.6757025221655,5.084042672888472,6.277487336334161,1.1647143212405837,1.8605573633152332,0.07926643791142851,3.2932615280151367,244.10546875,0.3286805229727179,9.129507064819336,235.1015625
1,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.1,46.5776143480526,34.23970531552848,99.04907485572184,72.96197683675427,12.337909032524117,26.087098018967566,26.488924358230815,26.33754838898485,0.07926643791142851,3.2932615280151367,244.10546875,0.3286805229727179,9.129507064819336,235.1015625
0,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.2,436.50555163374787,441.58959430663634,337.39821518583136,343.6757025221655,5.084042672888472,6.277487336334161,1.1647143212405837,1.8605573633152332,0.08687475498300046,3.293715476989746,244.10546875,0.3286805229727179,9.129507064819336,235.1015625
1,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.2,46.5776143480526,34.23970531552848,99.04907485572184,72.96197683675427,12.337909032524117,26.087098018967566,26.488924358230815,26.33754838898485,0.08687475498300046,3.293715476989746,244.10546875,0.3286805229727179,9.129507064819336,235.1015625
0,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.3,436.50555163374787,441.58959430663634,337.39821518583136,343.6757025221655,5.084042672888472,6.277487336334161,1.1647143212405837,1.8605573633152332,0.08541507693007588,3.29195499420166,244.22265625,0.3286805229727179,9.129507064819336,235.1015625
1,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.3,46.5776143480526,33.1771089541272,99.04907485572184,71.156080555383,13.4005053939254,27.89299430033884,28.770269970869972,28.16078225967148,0.08541507693007588,3.29195499420166,244.22265625,0.3286805229727179,9.129507064819336,235.1015625
0,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.4,436.50555163374787,424.62648632093607,337.39821518583136,336.9479925366402,11.879065312811804,0.4502226491911756,2.7214007401168154,0.13343954678100567,0.08508671901654452,3.1887874603271484,244.16796875,0.3286805229727179,9.129507064819336,235.1015625
1,"(19, 19, 19)","(0.8, 0.8, 0.8)",no_diff,0.0,0,0.4,46.5776143480526,28.30640953177374,99.04907485572184,69.9699448551555,18.27120481627886,29.079130000566337,39.227438055858215,29.358305509591037,0.08508671901654452,3.1887874603271484,244.16796875,0.3286805229727179,9.129507064819336,235.1015625
