nx,ny,dense_thr,beta,cthr,sil,dbi,cov,k,iters_used,stop,score,grid_tag
26,26,0.10526315789473684,0.1,0.01,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.18e-10),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.1,0.02,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.18e-10),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.1,0.05,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.18e-10),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.1,0.1,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.18e-10),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.2,0.01,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.40e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.2,0.02,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.40e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.2,0.05,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.40e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.2,0.1,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.40e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.25,0.01,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.75e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.25,0.02,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.75e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.25,0.05,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.75e-17),0.8254674629430596,COARSE
26,26,0.10526315789473684,0.25,0.1,0.7686442610804365,0.2996203815651372,0.94,15,100,converged (max|Δc|=1.75e-17),0.8254674629430596,COARSE
