nx,ny,dense_thr,beta,cthr,sil,dbi,cov,k,iters_used,stop,score,grid_tag
34,34,0.03076923076923077,0.1,0.2,0.7388623254558101,0.3374065051387888,0.9536,15,190,converged (max|Δc|=8.50e-07),0.8127359457775973,COARSE
34,34,0.03076923076923077,0.2,0.2,0.7388623254558101,0.3374065051387888,0.9536,15,100,converged (max|Δc|=7.56e-07),0.8127359457775973,COARSE
34,34,0.03076923076923077,0.25,0.2,0.7388623254558101,0.3374065051387888,0.9536,15,100,converged (max|Δc|=4.68e-08),0.8127359457775973,COARSE
34,34,0.03076923076923077,0.1,0.1,0.7353188647952943,0.3411572350893592,0.959,15,190,converged (max|Δc|=8.50e-07),0.8126376332526148,COARSE
34,34,0.03076923076923077,0.25,0.1,0.7353188647952943,0.3411572350893592,0.959,15,100,converged (max|Δc|=4.68e-08),0.8126376332526148,COARSE
34,34,0.03076923076923077,0.2,0.1,0.7353188647952943,0.3411572350893592,0.959,15,100,converged (max|Δc|=7.56e-07),0.8126376332526148,COARSE
34,34,0.03076923076923077,0.25,0.05,0.7330662281884527,0.3434613518419946,0.9622,15,100,converged (max|Δc|=4.68e-08),0.8125154741959764,COARSE
34,34,0.03076923076923077,0.1,0.05,0.7330662281884527,0.3434613518419946,0.9622,15,190,converged (max|Δc|=8.50e-07),0.8125154741959764,COARSE
34,34,0.03076923076923077,0.2,0.05,0.7330662281884527,0.3434613518419946,0.9622,15,100,converged (max|Δc|=7.56e-07),0.8125154741959764,COARSE
34,34,0.03076923076923077,0.1,0.3,0.7454311807093519,0.3306884893019581,0.9398,15,190,converged (max|Δc|=8.50e-07),0.8116331214233612,COARSE
34,34,0.03076923076923077,0.2,0.3,0.7454311807093519,0.3306884893019581,0.9398,15,100,converged (max|Δc|=7.56e-07),0.8116331214233612,COARSE
34,34,0.03076923076923077,0.25,0.3,0.7454311807093519,0.3306884893019581,0.9398,15,100,converged (max|Δc|=4.68e-08),0.8116331214233612,COARSE
